#All ATL transformations, general case, 100 classes, varying attributes

#attributes		ATL0		a			b			c			d
1				24.252		21.138		11.975		11.958		12.841
10				50.815		40.643		31.438		34.654		71.400
50				338.566		186.101		177.429		248.871		1107.819
100				1099.085	536.677		503.196		788.879		205.642
500				23511.297	9421.470	8917.703	16035.072	109212.160
1000			87325.664	34625.895	33973.367	68575.660	605591.560
